Run,PTEV,PTES,NumSlots,NumAttributes,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13770541.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13770300.0000,0.6928,0.0000,0.5000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13769581.0000,0.5463,0.0000,0.6250,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13764122.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13763461.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13762741.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13755001.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13754881.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13754522.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13753201.0000,0.6187,0.0000,0.6250,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13752720.0000,0.3397,0.0000,0.6250,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13751640.0000,0.1118,0.0000,0.3750,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13750861.0000,0.6928,0.0000,0.5000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13750381.0000,0.5305,0.0000,0.3750,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13747381.0000,0.3367,0.0000,0.3750,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13745101.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13710481.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13701900.0000,0.6832,0.0000,0.8750,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13686422.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13677181.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
0.0000,40.0000,0.2500,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13675861.0000,0.0000,0.0000,0.0000,0.6000,7.5000,0.0000
