Run,PTEV,PTES,NumSlots,NumAttributes,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13802521.0000,0.6736,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13779300.0000,0.3940,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13775100.0000,0.2728,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13773000.0000,0.2872,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13771201.0000,0.1422,0.0000,0.5000,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13770540.0000,0.5656,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13770300.0000,0.3940,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13769581.0000,-0.1670,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13764121.0000,0.6763,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763640.0000,0.3207,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763460.0000,0.3940,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13762740.0000,-0.0034,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13758180.0000,0.1758,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13756441.0000,-0.9388,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13755000.0000,0.3716,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13754880.0000,-0.4824,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13754521.0000,0.3418,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13753200.0000,0.3937,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13752720.0000,0.6063,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13751640.0000,0.6053,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750861.0000,0.2604,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750381.0000,0.5064,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13747380.0000,0.4903,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13745100.0000,0.6481,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13710480.0000,0.6109,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13701900.0000,0.6412,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13700940.0000,0.2640,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13686420.0000,0.6575,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13677780.0000,0.1758,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13677180.0000,0.5575,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13675860.0000,0.6412,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13675740.0000,0.6115,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13672860.0000,0.4296,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13671961.0000,0.4987,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13671540.0000,0.3319,0.0000,0.8750,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13670341.0000,0.5879,0.0000,1.0000,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13669080.0000,0.2186,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13667160.0000,0.6183,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13663380.0000,0.4011,0.0000,0.7500,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13663320.0000,0.6063,0.0000,0.6250,0.7000,10.0000,0.0000
0.0000,10.0000,0.5000,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13660860.0000,0.1509,0.0000,0.7500,0.7000,10.0000,0.0000
