Run,PTEV,PTES,NumSlots,NumAttributes,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13802521.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13779300.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13775101.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13773000.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13771201.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13770540.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13770300.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13769581.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13764121.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763640.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763460.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13762740.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13758180.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13756441.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13755000.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13754880.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13754521.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13753201.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13752720.0000,3.9120,1.0000,0.6250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13751640.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750860.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750381.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13747380.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13745100.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13710480.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13701900.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13700940.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13686420.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13677780.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13677180.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13675860.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13675740.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13672860.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13671961.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13671540.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13670341.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13669080.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13667160.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13663380.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13663320.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13660860.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13659540.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13657380.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13657020.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13652700.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13623000.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13622580.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13614780.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13614300.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13596840.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13595700.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13595220.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13593541.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13592580.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13591860.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13590540.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13590420.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13590360.0000,3.9120,1.0000,0.6250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13586400.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13582920.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13581360.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13580580.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13578360.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13577100.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13576440.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13574760.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13574400.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13571760.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13568400.0000,3.9120,1.0000,0.3750,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13567861.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13567740.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13520281.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13518840.0000,3.9120,1.0000,0.0000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13514701.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13511161.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13507200.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13505580.0000,3.9120,1.0000,0.1250,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13505340.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13503360.0000,3.9120,1.0000,0.5000,0.6000,2.5000,0.0000
0.0000,50.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13502640.0000,3.9120,1.0000,0.2500,0.6000,2.5000,0.0000
