Run,PTEV,PTES,NumSlots,NumAttributes,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13779301.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13775101.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13773001.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13769582.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13764122.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763641.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13763461.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13758181.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13756442.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13755001.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13754881.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750861.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13750382.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13747381.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13745101.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13700941.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13686422.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13677781.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13675861.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13671962.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13670341.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13667161.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13657381.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13652701.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13614781.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13596841.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13595701.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13595221.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13590541.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13590361.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13586401.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13582921.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13580581.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13577101.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13576441.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
0.0000,30.0000,0.7500,8.0000,3.0000,100.0000,60.0000,20.0000,0.0000,13574401.0000,0.0000,0.0000,0.0000,0.6000,2.5000,0.0000
