Run,PTEV,PTES,NumSlots,NumAttributes,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13779301.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13770541.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13769582.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13755001.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13752721.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13750382.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13747381.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13710481.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13701901.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13686422.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13677181.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13675861.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13675741.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13671962.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13670341.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13667161.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13663321.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13660861.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13652701.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13623001.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13614301.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13596841.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13595221.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13591861.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13590541.0000,0.0027,0.0000,0.1250,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13590422.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13586401.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13581361.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13580581.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
0.0000,40.0000,0.0000,8.0000,6.0000,100.0000,60.0000,20.0000,0.0000,13577101.0000,0.0000,0.0000,0.0000,0.6000,5.0000,0.0000
