Run,Day,PTEV,PTES,StartingGamma,NumAttributes,RuminationFrequency,W,SSRI,MemoryEntropy,ChunkSimilarity,PTraumatic,CTraumatic,ChunkV
0,-6,20,0.25,0.95,6,0,4,FALSE,7.053273333333333,0.1,0,0,-0.01866666666666667
0,-6,20,0.25,0.95,6,0,4,TRUE,7.03873,0,0,0,0
0,-5,20,0.25,0.9,6,0,4,FALSE,7.12802,0.075,0,0,0.0025
0,-5,20,0.25,0.9,6,0,4,TRUE,7.147125,0,0,0,0
0,-5,20,0.25,0.95,6,0,4,FALSE,7.107990909090909,0.06818181818181818,0,0,0.17555454545454544
0,-5,20,0.25,0.95,6,0,4,TRUE,7.14654,0.075,0,0,0.12752
0,-4,20,0.25,0.9,6,0,4,FALSE,7.173863636363636,0.09090909090909091,0,0,0.032854545454545456
0,-4,20,0.25,0.9,6,0,4,TRUE,7.193058333333333,0.0625,0,0,0.059324999999999996
0,-4,20,0.25,0.95,6,0,4,FALSE,7.133272727272727,0.022727272727272728,0,0,-0.01710909090909091
0,-4,20,0.25,0.95,6,0,4,TRUE,7.177266666666667,0,0,0,0
0,-3,20,0.25,0.9,6,0,4,FALSE,7.101935714285714,0,0,0,0
0,-3,20,0.25,0.9,6,0,4,TRUE,7.13798125,0.015625,0,0,0.0294125
0,-3,20,0.25,0.95,6,0,4,FALSE,7.075921428571428,0.08928571428571429,0,0,0.07877142857142858
0,-3,20,0.25,0.95,6,0,4,TRUE,7.0666,0.044642857142857144,0,0,0.07092857142857144
0,-2,20,0.25,0.9,6,0,4,FALSE,7.15557,0,0,0,0
0,-2,20,0.25,0.9,6,0,4,TRUE,7.173611111111111,0,0,0,0
0,-2,20,0.25,0.95,6,0,4,FALSE,7.156030769230769,0,0,0,0
0,-2,20,0.25,0.95,6,0,4,TRUE,7.146522222222222,0.08333333333333333,0,0,0.07815555555555556
0,-1,20,0.25,0.9,6,0,4,FALSE,7.106675,0.09375,0,0,0.08734166666666666
