Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity, BLC, LE
  0.0,  20.0,   0.0,   6.0,   6.0, 64800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 64200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 63600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 63000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 62400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 61800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 61200., .5961,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 60600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 60000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 59400., .5285,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 58800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 58200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 57600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 57000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 56400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 55800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 55200., .5916,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 54600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 54000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 53400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 52800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 52200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 51600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 51000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 50400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 49800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 49200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 48600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 48000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 47400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 46800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 46200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 45600., .5194,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 45000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 44400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 43800., .5961,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 43200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 42600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 42000., .6087,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 41400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 40800., .5961,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 40200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 39600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 39000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 38400., .5961,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 37800., .5961,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 37200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 36600., .5961,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 36000., .4623,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 35400., 2.996,   1.0,   0.0,   9.0,   0.7
