Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity
  0.0,   1.0,   0.0,   6.0,   6.0, 12294961., .6334,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12291120., .2248,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12286200., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12276660., 0.415,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12273660., .0637,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12210660., .6706,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 12202141., .4705,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12197220., .6839,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12196680., .3442,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 12195540., .0367,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12191941., -.515,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12191280., .2827,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12190320., .5368,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12187260., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12186781., .6349,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 12116820., .3442,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12115980., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12112080., -.547,   0.0, .8333
  0.0,   1.0,   0.0,   6.0,   6.0, 12110401., .6129,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 12110340., .3237,   0.0, .8333
  0.0,   1.0,   0.0,   6.0,   6.0, 12110220., .6562,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 12106260., .4513,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12105000., .3237,   0.0,   0.0
  0.0,   1.0,   0.0,   6.0,   6.0, 12101940., .6515,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12100560., .6678,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12045181., .4775,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 12044520., .5334,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 12030600., .5981,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 12030540., .6515,   0.0, .3333
