Intensity,BLC,Threshold,Stimulus,Percentage
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.7800
1.0000,2.5000,1.0000,A--,0.8900
1.0000,2.5000,1.0000,B--,0.7100
1.0000,2.5000,1.0000,X--,0.8200
1.0000,0.5000,1.0000,A--,0.9100
1.0000,0.5000,1.0000,B--,0.6100
1.0000,0.5000,1.0000,X--,0.5500
1.0000,1.0000,1.0000,A--,0.6000
1.0000,1.0000,1.0000,B--,0.5300
1.0000,1.0000,1.0000,X--,0.5000
1.0000,1.5000,1.0000,A--,0.6000
1.0000,1.5000,1.0000,B--,0.4600
1.0000,1.5000,1.0000,X--,0.5800
1.0000,2.0000,1.0000,A--,0.7100
1.0000,2.0000,1.0000,B--,0.4200
1.0000,2.0000,1.0000,X--,0.4900
1.0000,2.5000,1.0000,A--,0.6000
1.0000,2.5000,1.0000,B--,0.4100
1.0000,2.5000,1.0000,X--,0.4300
1.0000,0.5000,1.0000,A--,0.7000
1.0000,0.5000,1.0000,B--,0.4900
1.0000,0.5000,1.0000,X--,0.5100
1.0000,1.0000,1.0000,A--,0.5500
1.0000,1.0000,1.0000,B--,0.5400
1.0000,1.0000,1.0000,X--,0.5200
1.0000,1.5000,1.0000,A--,0.6400
1.0000,1.5000,1.0000,B--,0.4200
1.0000,1.5000,1.0000,X--,0.4900
1.0000,2.0000,1.0000,A--,0.6500
1.0000,2.0000,1.0000,B--,0.5000
1.0000,2.0000,1.0000,X--,0.5000
1.0000,2.5000,1.0000,A--,0.6900
1.0000,2.5000,1.0000,B--,0.3400
1.0000,2.5000,1.0000,X--,0.4600
1.0000,0.5000,1.0000,A--,0.6600
1.0000,0.5000,1.0000,B--,0.5000
1.0000,0.5000,1.0000,X--,0.5500
1.0000,1.0000,1.0000,A--,0.5800
1.0000,1.0000,1.0000,B--,0.4500
1.0000,1.0000,1.0000,X--,0.5200
1.0000,1.5000,1.0000,A--,0.6600
1.0000,1.5000,1.0000,B--,0.5100
1.0000,1.5000,1.0000,X--,0.5000
1.0000,2.0000,1.0000,A--,0.6900
1.0000,2.0000,1.0000,B--,0.4300
1.0000,2.0000,1.0000,X--,0.4700
1.0000,2.5000,1.0000,A--,0.5900
1.0000,2.5000,1.0000,B--,0.4700
1.0000,2.5000,1.0000,X--,0.4900
1.0000,0.5000,1.0000,A--,0.6600
1.0000,0.5000,1.0000,B--,0.4600
1.0000,0.5000,1.0000,X--,0.4700
1.0000,1.0000,1.0000,A--,0.6400
1.0000,1.0000,1.0000,B--,0.4300
1.0000,1.0000,1.0000,X--,0.4900
1.0000,1.5000,1.0000,A--,0.6900
1.0000,1.5000,1.0000,B--,0.4900
1.0000,1.5000,1.0000,X--,0.4600
1.0000,2.0000,1.0000,A--,0.6000
1.0000,2.0000,1.0000,B--,0.4900
1.0000,2.0000,1.0000,X--,0.5300
1.0000,2.5000,1.0000,A--,0.6600
1.0000,2.5000,1.0000,B--,0.4700
1.0000,2.5000,1.0000,X--,0.5300
1.0000,0.5000,1.0000,A--,0.6200
1.0000,0.5000,1.0000,B--,0.4600
1.0000,0.5000,1.0000,X--,0.6000
1.0000,1.0000,1.0000,A--,0.6500
1.0000,1.0000,1.0000,B--,0.4900
1.0000,1.0000,1.0000,X--,0.4800
1.0000,1.5000,1.0000,A--,0.5400
1.0000,1.5000,1.0000,B--,0.4400
1.0000,1.5000,1.0000,X--,0.5500
1.0000,2.0000,1.0000,A--,0.5900
1.0000,2.0000,1.0000,B--,0.4200
1.0000,2.0000,1.0000,X--,0.5500
1.0000,2.5000,1.0000,A--,0.5800
1.0000,2.5000,1.0000,B--,0.5200
1.0000,2.5000,1.0000,X--,0.5500
1.0000,0.5000,1.0000,A--,0.7000
1.0000,0.5000,1.0000,B--,0.4600
1.0000,0.5000,1.0000,X--,0.5900
1.0000,1.0000,1.0000,A--,0.5900
1.0000,1.0000,1.0000,B--,0.5100
1.0000,1.0000,1.0000,X--,0.5000
1.0000,1.5000,1.0000,A--,0.7100
1.0000,1.5000,1.0000,B--,0.4200
1.0000,1.5000,1.0000,X--,0.4600
1.0000,2.0000,1.0000,A--,0.6800
1.0000,2.0000,1.0000,B--,0.4300
1.0000,2.0000,1.0000,X--,0.4500
1.0000,2.5000,1.0000,A--,0.6600
1.0000,2.5000,1.0000,B--,0.5000
1.0000,2.5000,1.0000,X--,0.4500
1.0000,0.5000,1.0000,A--,0.6900
1.0000,0.5000,1.0000,B--,0.5100
1.0000,0.5000,1.0000,X--,0.5600
1.0000,1.0000,1.0000,A--,0.6500
1.0000,1.0000,1.0000,B--,0.4500
1.0000,1.0000,1.0000,X--,0.4700
1.0000,1.5000,1.0000,A--,0.5800
1.0000,1.5000,1.0000,B--,0.5600
1.0000,1.5000,1.0000,X--,0.4900
1.0000,2.0000,1.0000,A--,0.6000
1.0000,2.0000,1.0000,B--,0.5200
1.0000,2.0000,1.0000,X--,0.4500
1.0000,2.5000,1.0000,A--,0.6800
1.0000,2.5000,1.0000,B--,0.3300
1.0000,2.5000,1.0000,X--,0.5100
