Intensity,BLC,Threshold,Stimulus,Percentage
1.5000,1.5000,1.5000,A--,0.6900
1.5000,1.5000,1.5000,B--,0.4900
1.5000,1.5000,1.5000,X--,0.5900
1.5000,1.5000,2.0000,A--,0.6900
1.5000,1.5000,2.0000,B--,0.4900
1.5000,1.5000,2.0000,X--,0.4800
1.5000,1.5000,2.5000,A--,0.5600
1.5000,1.5000,2.5000,B--,0.4500
1.5000,1.5000,2.5000,X--,0.4700
1.5000,2.0000,0.5000,A--,0.5900
1.5000,2.0000,0.5000,B--,0.4300
1.5000,2.0000,0.5000,X--,0.4100
1.5000,2.0000,1.0000,A--,0.6200
1.5000,2.0000,1.0000,B--,0.4800
1.5000,2.0000,1.0000,X--,0.5200
1.5000,2.0000,1.5000,A--,0.6200
1.5000,2.0000,1.5000,B--,0.4800
1.5000,2.0000,1.5000,X--,0.4400
1.5000,2.0000,2.0000,A--,0.6800
1.5000,2.0000,2.0000,B--,0.5300
1.5000,2.0000,2.0000,X--,0.4500
1.5000,2.0000,2.5000,A--,0.6000
1.5000,2.0000,2.5000,B--,0.5200
1.5000,2.0000,2.5000,X--,0.4400
1.5000,2.5000,0.5000,A--,0.6800
1.5000,2.5000,0.5000,B--,0.3900
1.5000,2.5000,0.5000,X--,0.5000
1.5000,2.5000,1.0000,A--,0.5700
1.5000,2.5000,1.0000,B--,0.4400
1.5000,2.5000,1.0000,X--,0.4800
1.5000,2.5000,1.5000,A--,0.7000
1.5000,2.5000,1.5000,B--,0.4900
1.5000,2.5000,1.5000,X--,0.4600
1.5000,2.5000,2.0000,A--,0.5900
1.5000,2.5000,2.0000,B--,0.5800
1.5000,2.5000,2.0000,X--,0.5000
1.5000,2.5000,2.5000,A--,0.6300
1.5000,2.5000,2.5000,B--,0.5400
1.5000,2.5000,2.5000,X--,0.4500
2.0000,0.5000,0.5000,A--,0.6300
2.0000,0.5000,0.5000,B--,0.3900
2.0000,0.5000,0.5000,X--,0.5100
2.0000,0.5000,1.0000,A--,0.6100
2.0000,0.5000,1.0000,B--,0.4900
2.0000,0.5000,1.0000,X--,0.5400
2.0000,0.5000,1.5000,A--,0.6100
2.0000,0.5000,1.5000,B--,0.4500
2.0000,0.5000,1.5000,X--,0.5700
2.0000,0.5000,2.0000,A--,0.6100
2.0000,0.5000,2.0000,B--,0.4400
2.0000,0.5000,2.0000,X--,0.4500
2.0000,0.5000,2.5000,A--,0.6000
2.0000,0.5000,2.5000,B--,0.4600
2.0000,0.5000,2.5000,X--,0.5200
2.0000,1.0000,0.5000,A--,0.6200
2.0000,1.0000,0.5000,B--,0.4800
2.0000,1.0000,0.5000,X--,0.5600
2.0000,1.0000,1.0000,A--,0.6600
2.0000,1.0000,1.0000,B--,0.4500
2.0000,1.0000,1.0000,X--,0.5100
2.0000,1.0000,1.5000,A--,0.6600
2.0000,1.0000,1.5000,B--,0.5500
2.0000,1.0000,1.5000,X--,0.5400
2.0000,1.0000,2.0000,A--,0.6100
2.0000,1.0000,2.0000,B--,0.5200
2.0000,1.0000,2.0000,X--,0.4200
2.0000,1.0000,2.5000,A--,0.6500
2.0000,1.0000,2.5000,B--,0.5900
2.0000,1.0000,2.5000,X--,0.5000
2.0000,1.5000,0.5000,A--,0.7200
2.0000,1.5000,0.5000,B--,0.4300
2.0000,1.5000,0.5000,X--,0.4600
2.0000,1.5000,1.0000,A--,0.6800
2.0000,1.5000,1.0000,B--,0.5000
2.0000,1.5000,1.0000,X--,0.5900
2.0000,1.5000,1.5000,A--,0.6500
2.0000,1.5000,1.5000,B--,0.5300
2.0000,1.5000,1.5000,X--,0.5600
2.0000,1.5000,2.0000,A--,0.6300
2.0000,1.5000,2.0000,B--,0.4800
2.0000,1.5000,2.0000,X--,0.5100
2.0000,1.5000,2.5000,A--,0.7700
2.0000,1.5000,2.5000,B--,0.5800
2.0000,1.5000,2.5000,X--,0.5200
2.0000,2.0000,0.5000,A--,0.6000
2.0000,2.0000,0.5000,B--,0.3400
2.0000,2.0000,0.5000,X--,0.5000
2.0000,2.0000,1.0000,A--,0.7000
2.0000,2.0000,1.0000,B--,0.5000
2.0000,2.0000,1.0000,X--,0.5000
2.0000,2.0000,1.5000,A--,0.6100
2.0000,2.0000,1.5000,B--,0.4400
2.0000,2.0000,1.5000,X--,0.4600
2.0000,2.0000,2.0000,A--,0.6300
2.0000,2.0000,2.0000,B--,0.5000
2.0000,2.0000,2.0000,X--,0.5000
2.0000,2.0000,2.5000,A--,0.6000
2.0000,2.0000,2.5000,B--,0.4200
2.0000,2.0000,2.5000,X--,0.4900
2.0000,2.5000,0.5000,A--,0.6200
2.0000,2.5000,0.5000,B--,0.5300
2.0000,2.5000,0.5000,X--,0.4700
2.0000,2.5000,1.0000,A--,0.6700
2.0000,2.5000,1.0000,B--,0.5300
2.0000,2.5000,1.0000,X--,0.4200
2.0000,2.5000,1.5000,A--,0.4800
2.0000,2.5000,1.5000,B--,0.5800
2.0000,2.5000,1.5000,X--,0.3900
2.0000,2.5000,2.0000,A--,0.6300
2.0000,2.5000,2.0000,B--,0.4900
2.0000,2.5000,2.0000,X--,0.5400
2.0000,2.5000,2.5000,A--,0.5700
2.0000,2.5000,2.5000,B--,0.4600
2.0000,2.5000,2.5000,X--,0.5700
2.5000,0.5000,0.5000,A--,0.6700
2.5000,0.5000,0.5000,B--,0.5000
2.5000,0.5000,0.5000,X--,0.5600
2.5000,0.5000,1.0000,A--,0.5700
2.5000,0.5000,1.0000,B--,0.5000
2.5000,0.5000,1.0000,X--,0.4900
2.5000,0.5000,1.5000,A--,0.6000
2.5000,0.5000,1.5000,B--,0.4800
2.5000,0.5000,1.5000,X--,0.4700
2.5000,0.5000,2.0000,A--,0.6700
2.5000,0.5000,2.0000,B--,0.4000
2.5000,0.5000,2.0000,X--,0.6000
2.5000,0.5000,2.5000,A--,0.6300
2.5000,0.5000,2.5000,B--,0.4600
2.5000,0.5000,2.5000,X--,0.5300
2.5000,1.0000,0.5000,A--,0.6300
2.5000,1.0000,0.5000,B--,0.5000
2.5000,1.0000,0.5000,X--,0.4600
2.5000,1.0000,1.0000,A--,0.6400
2.5000,1.0000,1.0000,B--,0.4700
2.5000,1.0000,1.0000,X--,0.5200
2.5000,1.0000,1.5000,A--,0.5600
2.5000,1.0000,1.5000,B--,0.3800
2.5000,1.0000,1.5000,X--,0.5400
2.5000,1.0000,2.0000,A--,0.5800
2.5000,1.0000,2.0000,B--,0.4300
2.5000,1.0000,2.0000,X--,0.5500
2.5000,1.0000,2.5000,A--,0.6100
2.5000,1.0000,2.5000,B--,0.4700
2.5000,1.0000,2.5000,X--,0.5300
2.5000,1.5000,0.5000,A--,0.6100
2.5000,1.5000,0.5000,B--,0.5000
2.5000,1.5000,0.5000,X--,0.4600
2.5000,1.5000,1.0000,A--,0.6300
2.5000,1.5000,1.0000,B--,0.4700
2.5000,1.5000,1.0000,X--,0.4600
2.5000,1.5000,1.5000,A--,0.6300
2.5000,1.5000,1.5000,B--,0.5400
2.5000,1.5000,1.5000,X--,0.4300
2.5000,1.5000,2.0000,A--,0.6400
2.5000,1.5000,2.0000,B--,0.4800
2.5000,1.5000,2.0000,X--,0.4900
2.5000,1.5000,2.5000,A--,0.6200
2.5000,1.5000,2.5000,B--,0.4600
2.5000,1.5000,2.5000,X--,0.4800
2.5000,2.0000,0.5000,A--,0.6400
2.5000,2.0000,0.5000,B--,0.5800
2.5000,2.0000,0.5000,X--,0.5000
2.5000,2.0000,1.0000,A--,0.6700
2.5000,2.0000,1.0000,B--,0.4400
2.5000,2.0000,1.0000,X--,0.5900
2.5000,2.0000,1.5000,A--,0.6200
2.5000,2.0000,1.5000,B--,0.3900
2.5000,2.0000,1.5000,X--,0.4600
2.5000,2.0000,2.0000,A--,0.5100
2.5000,2.0000,2.0000,B--,0.4100
2.5000,2.0000,2.0000,X--,0.4900
2.5000,2.0000,2.5000,A--,0.6300
2.5000,2.0000,2.5000,B--,0.4900
2.5000,2.0000,2.5000,X--,0.5700
2.5000,2.5000,0.5000,A--,0.6700
2.5000,2.5000,0.5000,B--,0.5500
2.5000,2.5000,0.5000,X--,0.4800
2.5000,2.5000,1.0000,A--,0.6700
2.5000,2.5000,1.0000,B--,0.4300
2.5000,2.5000,1.0000,X--,0.5300
2.5000,2.5000,1.5000,A--,0.6200
2.5000,2.5000,1.5000,B--,0.5000
2.5000,2.5000,1.5000,X--,0.5200
2.5000,2.5000,2.0000,A--,0.6800
2.5000,2.5000,2.0000,B--,0.4400
2.5000,2.5000,2.0000,X--,0.4900
2.5000,2.5000,2.5000,A--,0.7500
2.5000,2.5000,2.5000,B--,0.4700
2.5000,2.5000,2.5000,X--,0.6100
