Run,PTEV,PTES,Gamma,NumSlots,NumAttributes,MemorySize,MemoryEntropy,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4311,100.0000,60.0000,20.0000,0.0000,13802521.0000,0.4791,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4128,100.0000,60.0000,20.0000,0.0000,13779300.0000,0.4795,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3968,100.0000,60.0000,20.0000,0.0000,13775100.0000,0.4800,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3911,100.0000,60.0000,20.0000,0.0000,13773001.0000,0.4804,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3836,100.0000,60.0000,20.0000,0.0000,13771201.0000,0.3374,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3874,100.0000,60.0000,20.0000,0.0000,13770540.0000,0.4808,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4216,100.0000,60.0000,20.0000,0.0000,13770300.0000,0.4813,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4244,100.0000,60.0000,20.0000,0.0000,13769581.0000,0.4817,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3695,100.0000,60.0000,20.0000,0.0000,13764121.0000,0.4822,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4208,100.0000,60.0000,20.0000,0.0000,13763640.0000,0.4826,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4232,100.0000,60.0000,20.0000,0.0000,13763460.0000,0.4831,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4238,100.0000,60.0000,20.0000,0.0000,13762740.0000,0.4835,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4080,100.0000,60.0000,20.0000,0.0000,13758180.0000,0.4840,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4034,100.0000,60.0000,20.0000,0.0000,13756441.0000,0.4844,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3504,100.0000,60.0000,20.0000,0.0000,13755000.0000,0.4849,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3473,100.0000,60.0000,20.0000,0.0000,13754880.0000,0.4853,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4067,100.0000,60.0000,20.0000,0.0000,13754521.0000,0.4858,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4070,100.0000,60.0000,20.0000,0.0000,13751641.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4268,100.0000,60.0000,20.0000,0.0000,13750861.0000,0.4862,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4272,100.0000,60.0000,20.0000,0.0000,13750381.0000,0.4867,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4228,100.0000,60.0000,20.0000,0.0000,13747380.0000,0.4871,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4296,100.0000,60.0000,20.0000,0.0000,13745101.0000,0.4876,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4302,100.0000,60.0000,20.0000,0.0000,13710480.0000,0.4881,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4236,100.0000,60.0000,20.0000,0.0000,13701901.0000,0.4885,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4294,100.0000,60.0000,20.0000,0.0000,13700941.0000,0.6191,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4237,100.0000,60.0000,20.0000,0.0000,13686420.0000,0.4890,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3973,100.0000,60.0000,20.0000,0.0000,13677781.0000,0.4894,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3909,100.0000,60.0000,20.0000,0.0000,13677180.0000,0.4899,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3991,100.0000,60.0000,20.0000,0.0000,13672861.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3811,100.0000,60.0000,20.0000,0.0000,13671961.0000,0.4904,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3948,100.0000,60.0000,20.0000,0.0000,13671541.0000,0.4503,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3798,100.0000,60.0000,20.0000,0.0000,13670341.0000,0.4908,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4031,100.0000,60.0000,20.0000,0.0000,13669080.0000,0.4913,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4058,100.0000,60.0000,20.0000,0.0000,13667160.0000,0.4917,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.2521,100.0000,60.0000,20.0000,0.0000,13663380.0000,0.4922,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4028,100.0000,60.0000,20.0000,0.0000,13663321.0000,0.4927,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3875,100.0000,60.0000,20.0000,0.0000,13660860.0000,0.4931,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3910,100.0000,60.0000,20.0000,0.0000,13659540.0000,0.4936,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.3532,100.0000,60.0000,20.0000,0.0000,13657381.0000,0.4941,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,60.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.4136,100.0000,60.0000,20.0000,0.0000,13657020.0000,0.4945,1.0000,0.2500,0.5000,4.0000,0.0000
