Run,PTEV,PTES,Gamma,NumSlots,NumAttributes,MemorySize,MemoryEntropy,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.6815,100.0000,60.0000,20.0000,0.0000,13802521.0000,0.5719,0.0000,0.2500,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.6213,100.0000,60.0000,20.0000,0.0000,13779300.0000,0.4507,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.5949,100.0000,60.0000,20.0000,0.0000,13775101.0000,0.3233,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.5986,100.0000,60.0000,20.0000,0.0000,13773001.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.5432,100.0000,60.0000,20.0000,0.0000,13771202.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.5540,100.0000,60.0000,20.0000,0.0000,13770541.0000,0.2707,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.6302,100.0000,60.0000,20.0000,0.0000,13770301.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.6447,100.0000,60.0000,20.0000,0.0000,13769582.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.6188,100.0000,60.0000,20.0000,0.0000,13763641.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.8000,8.0000,4.0000,NIL,7.5995,100.0000,60.0000,20.0000,0.0000,13758181.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
