Run,PTEV,PTES,Gamma,NumSlots,NumAttributes,MemorySize,MemoryEntropy,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6897,100.0000,60.0000,20.0000,0.0000,13802521.0000,0.3752,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6678,100.0000,60.0000,20.0000,0.0000,13779300.0000,0.3756,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6543,100.0000,60.0000,20.0000,0.0000,13775100.0000,0.3760,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6226,100.0000,60.0000,20.0000,0.0000,13771202.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6278,100.0000,60.0000,20.0000,0.0000,13770540.0000,0.3764,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6673,100.0000,60.0000,20.0000,0.0000,13770300.0000,0.3768,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6712,100.0000,60.0000,20.0000,0.0000,13769581.0000,0.3772,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6054,100.0000,60.0000,20.0000,0.0000,13764121.0000,0.3776,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6145,100.0000,60.0000,20.0000,0.0000,13756442.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.5050,100.0000,60.0000,20.0000,0.0000,13755001.0000,0.3780,1.0000,0.3750,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.5888,100.0000,60.0000,20.0000,0.0000,13754881.0000,0.5052,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6562,100.0000,60.0000,20.0000,0.0000,13754521.0000,0.3785,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6287,100.0000,60.0000,20.0000,0.0000,13753201.0000,0.3789,1.0000,0.2500,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6522,100.0000,60.0000,20.0000,0.0000,13752720.0000,0.3793,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6620,100.0000,60.0000,20.0000,0.0000,13751641.0000,0.3231,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6859,100.0000,60.0000,20.0000,0.0000,13750860.0000,0.3797,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6860,100.0000,60.0000,20.0000,0.0000,13750381.0000,0.3801,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6812,100.0000,60.0000,20.0000,0.0000,13747380.0000,0.3805,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6902,100.0000,60.0000,20.0000,0.0000,13745101.0000,0.3809,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6841,100.0000,60.0000,20.0000,0.0000,13710480.0000,0.3814,1.0000,0.5000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6772,100.0000,60.0000,20.0000,0.0000,13701901.0000,-0.4748,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6838,100.0000,60.0000,20.0000,0.0000,13700941.0000,0.3818,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6743,100.0000,60.0000,20.0000,0.0000,13686420.0000,0.3822,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6407,100.0000,60.0000,20.0000,0.0000,13677781.0000,0.3826,1.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6410,100.0000,60.0000,20.0000,0.0000,13671541.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6239,100.0000,60.0000,20.0000,0.0000,13670341.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6511,100.0000,60.0000,20.0000,0.0000,13669080.0000,0.3831,1.0000,0.1250,0.5000,4.0000,0.0000
0.0000,40.0000,0.7500,0.9000,8.0000,4.0000,NIL,6.6549,100.0000,60.0000,20.0000,0.0000,13667160.0000,0.3835,1.0000,0.2500,0.5000,4.0000,0.0000
