Run,PTEV,PTES,Gamma,NumSlots,NumAttributes,MemorySize,MemoryEntropy,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.2002,100.0000,60.0000,20.0000,20.0000,13785181.0000,0.0000,0.0000,0.0000,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1988,100.0000,60.0000,20.0000,20.0000,13782121.0000,0.0000,0.0000,0.0000,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1990,100.0000,60.0000,20.0000,20.0000,13781881.0000,0.6565,1.0000,NIL,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1933,100.0000,60.0000,20.0000,20.0000,13780261.0000,0.6569,1.0000,NIL,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.2002,100.0000,60.0000,20.0000,20.0000,13779300.0000,0.2812,0.0000,0.5000,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.2004,100.0000,60.0000,20.0000,20.0000,13778761.0000,0.6573,1.0000,NIL,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1989,100.0000,60.0000,20.0000,20.0000,13777140.0000,0.6577,1.0000,NIL,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1957,100.0000,60.0000,20.0000,20.0000,13776241.0000,0.0000,0.0000,0.0000,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1907,100.0000,60.0000,20.0000,20.0000,13775700.0000,0.6581,1.0000,NIL,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1984,100.0000,60.0000,20.0000,20.0000,13775100.0000,0.5954,0.0000,0.6250,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1961,100.0000,60.0000,20.0000,20.0000,13773000.0000,0.4614,0.0000,0.6250,0.5000,12.0000,0.0000
0.0000,60.0000,0.7500,0.9500,8.0000,6.0000,NIL,6.1925,100.0000,60.0000,20.0000,20.0000,13771920.0000,0.6585,1.0000,NIL,0.5000,12.0000,0.0000
